Brand,VC,Depop,HardlyEverWornIt,Etsy,VideDressing,TheLuxuryCloset,TheVintageBar,Sum
Louis Vuitton,112478,215,501,13507,8707,22080,14256,171744
Gucci,102350,429,742,24211,6822,21602,3262,159418
Chanel,103224,391,913,24180,5938,14504,1782,150932
Dior,60035,608,419,24401,37788,10226,647,134124
Prada,83102,404,661,8751,5841,9442,3103,111304
Hermes,68935,65,531,16843,5215,6167,885,98641
Burberry,66150,343,347,14493,5928,8971,1142,97374
Dolce and Gabbana,55482,317,285,4174,4025,11427,386,76096
Fendi,49039,177,365,9835,3506,9502,1376,73800
Saint Laurent,42500,370,484,11184,4388,7117,454,66497
Valentino,39813,95,450,13172,3065,8716,276,65587
Bulgari,16069,4,51,24962,429,2182,174,43871
Christian Louboutin,33648,42,189,345,1624,7328,206,43382
Salvatore Ferragamo,21504,27,113,2018,1861,3977,717,30217
Jimmy Choo,22806,20,234,398,1021,4991,289,29759
Tod's,17596,19,86,2036,53,4088,3249,27127
Cartier,12772,16,89,7665,1160,3591,316,25609
Balmain,12900,110,190,4136,1367,685,153,19541
Rolex,3718,13,6,8170,165,1130,80,13282
Fusalp,269,16,2,176,66,53,0,582
Petit Bateau,272,43,5,599,4165,373,327,
Levi's,12349,1043,8,31407,45,3,57,
Ralph Lauren,12439,523,307,28029,8741,1420,404,
Lacoste,6764,523,1,6391,3624,0,0,
